koatuu;latitude;longitude
0121180600;45.8516667;34.4886111
0121180601;45.8536111;34.4863889
0121180602;45.7933333;34.4236111
0121180603;45.8469444;34.4625000
0121180604;45.7688889;34.4216667
0121180605;45.7936111;34.4400000
0121180606;45.8847222;34.4500000
0121180607;45.8255556;34.4655556
0121180800;45.8586111;34.3908333
0121180801;45.8633333;34.3894444
0121180802;45.8969444;34.3522222
0121180803;45.8766667;34.3347222
0121180804;45.8811111;34.4202778
0121180805;45.8427778;34.3930556
0121180806;45.8944444;34.2716667
0121181300;45.7430556;34.4808333
0121181301;45.7369444;34.4847222
0121181302;45.7666667;34.4791667
0121181303;45.7333333;34.4555556
0121181305;45.7758333;34.5183333
0121181306;45.7727778;34.5052778
0121181307;45.7422222;34.5638889
0121181308;45.7291667;34.5486111
0121181501;45.7380556;34.4105556
0121181502;45.6961111;34.3566667
0121181503;45.7480556;34.3313889
0121181504;45.6938889;34.3705556
0121181505;45.6616667;34.3869444
0121181506;45.7583333;34.3369444
0121181700;45.6322222;34.4680556
0121181701;45.6338889;34.4741667
0121181702;45.6511111;34.4533333
0121181703;45.5813889;34.4463889
0121181704;45.5713889;34.4938889
0121181800;45.7005556;34.1886111
0121181801;45.7013889;34.1900000
0121181900;45.7747222;34.2475000
0121181901;45.7763889;34.2444444
0121181903;45.7627778;34.2594444
0121181904;45.7280556;34.2683333
0121181905;45.7327778;34.2991667
0121181906;45.7738889;34.2675000
0121182300;45.7952778;34.2369444
0121182301;45.8013889;34.2369444
0121182302;45.7950000;34.2819444
0121182303;45.8308333;34.2444444
0121182304;45.8275000;34.1991667
0121182305;45.7836111;34.2644444
0121182500;45.5994444;34.5461111
0121182501;45.5925000;34.5461111
0121182502;45.5719444;34.5738889
0121182503;45.5516667;34.5247222
0121182505;45.6313889;34.5519444
0121182506;45.6094444;34.4941667
0121182900;45.7875000;34.3727778
0121182901;45.7913889;34.3669444
0121182902;45.7755556;34.3944444
0121182903;45.8277778;34.3941667
0121183400;45.8897222;34.5594444
0121183401;45.8841667;34.5563889
0121183402;45.9452778;34.6194444
0121183403;45.8902778;34.5844444
0121183600;45.6925000;34.3111111
0121183601;45.6913889;34.3102778
0121183602;45.7166667;34.3647222
0121183603;45.6722222;34.3672222
0121183604;45.6522222;34.3244444
0121183605;45.6619444;34.3627778
0121183800;45.7783333;34.1597222
0121183801;45.7802778;34.1544444
0121183802;45.8233333;34.1316667
0121183803;45.7430556;34.1530556
0121184000;45.8344444;34.1663889
0121184001;45.8330556;34.1630556
0121184002;45.8769444;34.1772222
0121184100;45.7005556;34.4458333
0121184101;45.7013889;34.4472222
0121184102;45.6638889;34.4977778
0121184103;45.6744444;34.4488889
0121184200;45.6536111;34.7030556
0121184201;45.6597222;34.6972222
0121184202;45.6991667;34.7752778
0121184203;45.6875000;34.7388889
0121184205;45.6388889;34.6805556
0121184207;45.6638889;34.6591667
0121184208;45.6863889;34.6925000
0121184209;45.7094444;34.7925000
0121185500;45.6469444;34.1194444
0121185501;45.6511111;34.1166667
0121185503;45.6313889;34.1333333
0121185600;45.6116667;34.3758333
0121185601;45.6083333;34.3791667
0121185602;45.6397222;34.3791667
0121185603;45.5786111;34.3594444
0121185604;45.6500000;34.3847222
0121185605;45.5788889;34.3833333
0121185800;45.6322222;34.6608333
0121185801;45.6336111;34.6611111
0121185802;45.7263889;34.5811111
0121185803;45.6994444;34.6302778
0121185804;45.6847222;34.6136111
0121185805;45.6750000;34.7736111
0121185806;45.7022222;34.5430556
0121185807;45.7552778;34.6555556
0121185808;45.7102778;34.6194444
0121186000;45.7061111;34.5658333
0121186001;45.7077778;34.5611111
0121186005;45.6672222;34.6380556
0121186200;45.6141667;34.6086111
0121186201;45.6105556;34.6127778
0121186203;45.5858333;34.6694444
0121186207;45.5833333;34.6077778
0121186209;45.6433333;34.6077778
0121187200;45.9069444;34.1850000
0121187201;45.9052778;34.1794444
0121187202;45.8777778;34.2402778
0121187203;45.9375000;34.1138889
0121187500;45.7941667;34.5841667
0121187501;45.8125000;34.5950000
0121187503;45.8680556;34.7013889
0121188200;45.6725000;34.2061111
0121188201;45.6636111;34.2044444
0121188204;45.6638889;34.2041667
0121188400;45.7941667;34.5841667
0121188401;45.6125000;34.3166667
0121188402;45.6263889;34.3333333
0121188403;45.5930556;34.3333333
0121188404;45.6069444;34.3405556
0121188406;45.5680556;34.3208333
0121188407;45.6072222;34.2758333
0121188408;45.6205556;34.2638889
0121188409;45.6061111;34.3591667
0121188600;45.9297222;34.3438889
0121188601;45.9430556;34.3508333
0121188602;45.9397222;34.2841667
0121188603;45.9677778;34.3172222
0121600000;45.2236000;35.2053000
0121610400;45.0291667;35.0886111
0121655100;45.2255556;35.2033333
0121680100;45.1097200;35.0986100
0121680101;45.1097222;35.0986111
